FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),feat_Co,feat_Si,feat_Ni,feat_Re,feat_Fe,feat_Zr,feat_Ru,feat_Ti,feat_Ta,feat_Al,feat_W,feat_Mo,feat_V,feat_Cu,feat_Nb,feat_Hf,feat_Cr,feat_Mn,Target_Energy,Target_Risk,Target_Price
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,6.8,342.0,,25.0,,,,,,,,,,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,195.85369174511786,0.22635015171555284,6.399310666770404
Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,286.0,,25.0,,,,,,206.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,181.67772741427635,0.3298720459499671,11.552113421680911
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,8.1,296.0,,25.0,,,,,,,,,,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,169.06136762332468,0.31480608378359415,5.936130446986176
Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,,,8.7,263.0,,25.0,,,,,,236.0,,,,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,171.02111768855627,0.37364190411925285,12.657340735515136
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,BCC,,,6.8,569.0,C,25.0,1641.0,3285.0,,17.0,,182.0,,,,0.19607843137254904,0.0,0.19607843137254904,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.019607843137254905,0.0,0.19607843137254904,0.0,272.52442393144105,0.28381307525665667,14.32911137771223
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,other,,,6.8,668.0,C,25.0,1959.0,3008.0,,11.0,,,,,,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.19047619047619047,0.0,352.27444294303825,0.2699703265709596,17.69210616050133
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,other,,,7.0,747.0,C,25.0,2473.0,3170.0,,4.0,,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,468.6645477508824,0.24976771106910453,22.6001841783904
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,520.0,C,25.0,1373.0,3531.0,,25.0,,184.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,214.4657740453177,0.2938907067025828,11.88082435430201
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.3,270.0,,25.0,,,,,,,,,,0.1724137931034483,0.0,0.1724137931034483,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,0.1724137931034483,0.0,182.91624435758578,0.30764328995408796,10.857040058726184
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.0,801.0,,25.0,,,,,,,,,,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,205.8143845727994,0.32268257981177334,12.523319985237128
