FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,635,,25,,,,,,,,,
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec.,CAST,other,,,7.2,639,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5,B2+Sec.,CAST,other,,,6.8,857,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,730,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,B2+Sec.,CAST,other,,,7,708,,25,,,,,,,,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,CAST,other,,,7.2,586,,25,,,,,,,,,
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+B2+Sec.,CAST,other,,,7.3,395,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1110,,,,,184,,,
Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,CAST,other,,,5.7,,C,25,2411,2950,,1,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,BCC,,,6.5,,C,25,1265,2173,,14,,176,,,
