FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,4,,8,,T,25,1050,,8,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,8,,8,,T,25,560,,49,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,8,,8,,T,25,520,,47,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,10,,8,,T,25,320,,59,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,20,,8,,T,25,280,,62,,,220,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,-196,419,,,34.6,,202,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,-70,350,,,28.8,,202,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,20,252,,,82.1,,202,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,600,214,,,189.2,,202,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,700,212,,,154.3,,202,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,800,187,,,119.5,,202,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,132,C,300,,,,,,210,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,147,C,340,,,,,,210,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,165,C,430,,,,,,210,,,
Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,other,204,,6.7,519,C,25,1631,,16,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,other,185,,6.7,493,C,25,1209,,23,,,,,,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,FCC+Sec.,WROUGHT,other,4.4,,8.2,,T,25,443,840,61.6,,,,,,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,FCC+Sec.,WROUGHT,other,3.2,,8.2,,T,25,711,1096,38.3,,,,,,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,FCC+Sec.,WROUGHT,other,26.3,,8.2,,T,25,301,718,77.5,,,,,,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,FCC+Sec.,WROUGHT,other,4.8,,8.2,,T,25,684,1078,48.1,,,,,,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,FCC+Sec.,WROUGHT,other,70.1,,8.2,,T,25,261,673,86.6,,,,,,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,FCC+Sec.,WROUGHT,other,5.4,,8.2,,T,25,506,933,59.3,,,,,,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,FCC+Sec.,WROUGHT,other,136.5,,8.2,,T,25,231,638,87.2,,,,,,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,FCC+Sec.,WROUGHT,other,120.6,,8.2,,T,25,296,693,63.2,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,300,,8,,,,,,,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,POWDER,FCC,4.2,,8,,,,,,,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,POWDER,FCC,1.3,,8,,,,,,,,,220,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,8.1,,T,25,615,950,14,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,ANNEAL,other,,,8.1,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,ANNEAL,other,,,8.1,,,,,,,,,,,,
Mo1 Nb1 Re0.5 W1,BCC,CAST,BCC,,,13.7,473,C,25,896,,10.4,7.08,,298,,,
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec.,CAST,other,,,13.5,510,C,25,1074,,12.1,8.33,,,,,
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec.,CAST,other,,,13.4,558,C,25,1144,,12.7,8.81,,,,,
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec.,CAST,other,,,13.3,583,C,25,1202,,14.2,10.25,,,,,
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec.,CAST,other,,,13.3,615,C,25,1241,,13.8,9.64,,,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,23,520,696,49,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,600,470,561,11,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,700,461,560,9,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,800,445,536,6,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,900,219,312,8,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,23,627,1197,27,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,600,594,1006,12,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,700,547,840,17,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,800,399,575,20,,,185,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,900,243,319,34,,,185,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,8.7,,7.9,,T,25,401,717,49,,,208,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,10.4,,7.9,,T,25,350,690,50,,,208,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,11.2,,7.9,,T,25,312,660,51,,,208,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,48.2,,7.9,,T,25,240,610,53,,,208,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,82.7,,7.9,,T,25,210,593,52,,,208,,,
Co1 Cr1 Fe1 Mn1 Ni1,Other,POWDER,other,,7.5,8,410.9,T,25,,,,,184,,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC+B2,CAST,other,80.67,,5.9,581.7,C,25,1241,,9.98,,,,,,
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,BCC+B2,CAST,other,66.93,,5.9,605.5,C,25,1324,,10.02,,,,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,BCC+B2,CAST,other,56.27,,6.1,641.7,C,25,1566,,11.85,,,,,,
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,BCC+B2,CAST,other,49.95,,6.2,639.6,C,25,1503,,7.73,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+B2+Laves,CAST,other,30.49,,6.2,703,C,25,1448,,6.18,,,,,,
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,BCC+B2+Laves,CAST,other,22.03,,6.3,856.9,C,25,1272,,3.15,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,,,other,,,6.7,,C,25,1300,,24.2,,,,,,
Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,,,other,,,6.8,,C,25,968,,30.1,,,,,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,,,other,,,6.9,,C,25,1100,,27.5,,,,,,
Al1 Co1 Cu1 Fe1 Ni1,,,other,,,7,,C,25,1060,,19.1,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,,,other,,,7.1,,C,25,1285,,24.6,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Ti1,,,other,,,6.5,,C,25,1612,,12.8,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,,other,,,6.6,,C,25,1523,,8.1,,,,,,
Al1 Cr1 Fe1 Ni1,,,other,,,6.3,,C,25,1271,,14,,,,,,
Al1 Co0.25 Cr1 Fe1 Ni1,,,other,,,6.4,,C,25,1363,,19,,,,,,
Al1 Co0.5 Cr1 Fe1 Ni1,,,other,,,6.5,,C,25,1349,,20,,,,,,
Al1 Co0.75 Cr1 Fe1 Ni1,,,other,,,6.6,,C,25,1331,,20,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,,,other,,,6.7,,C,25,1313,,19,,,,,,
Co1 Cr1 Fe1 Mn1,,,other,,,7.8,,C,25,338,,4.3,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,POWDER,other,,,6.7,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,POWDER,other,,,6.7,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,POWDER,other,,,6.7,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,POWDER,other,,,6.7,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,POWDER,other,,,6.7,,,,,,,,,,,,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,29.4,,11.2,,C,25,1550,,26.3,,,,,,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,31.7,,11.1,,C,25,1637,,15.5,,,,,,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.2,,C,800,577,,35,,,,,,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.1,,C,800,1065,,35,,,,,,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.2,,C,1000,409,,35,,,,,,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.1,,C,1000,736,,35,,,,,,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.2,,C,1200,345,,35,,,,,,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,,,11.1,,C,1200,703,,35,,,,,,
Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,372,C,25,1223,,48,,,94,,,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,351,C,25,1000,,52,,,89,,,
Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,300,,6.5,,,,,,,,,94,,,
Hf1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,50,,8.4,,,,,,,,,89,,,
Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,,C,800,462,,51,,,94,,,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,C,800,303,,51,,,89,,,
Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,,C,1000,218,,51,,,94,,,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,C,1000,154,,51,,,89,,,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,8.2,168.9,C,25,163,,80,,,226,,,
Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,FCC,,,8.9,244,C,25,335,,52,,,238,,,
Co1 Cr1 Fe1 Ni1 W0.5,FCC+Sec.,CAST,other,,,9.8,357.9,C,25,556,,35.6,,,,,,
Cr1 Fe1 Mo1 Nb1 V1,BCC+Laves,CAST,other,,,8.1,826,C,25,2663,,2.7,,,,,,
Cr1 Fe1 Mo1 Nb1 Ti1,BCC+Laves,CAST,other,,,7.6,792,C,25,1647,,0.9,,,,,,
Fe1 Mo1 Nb1 Ti1 V1,BCC+B2,CAST,other,,,7.4,699,C,25,1707,,1.7,,,,,,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC,WROUGHT,FCC,,,7.8,107,T,25,62,169,98,,16.6,200,,,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC+L12,WROUGHT,other,,,7.8,209,T,25,350,642,73,,47,,,,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC+L12+Sec.,WROUGHT,other,,,7.8,321,T,25,535,904,39,,35.2,,,,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC+L12+Sec.,WROUGHT,other,,,7.8,159,T,25,255,584,88,,51.4,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,60,,9.9,,,20,,,,,88.9,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,40,,,,,88.6,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,60,,,,,88.4,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,80,,,,,88.1,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,100,,,,,87.9,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,120,,,,,87.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,140,,,,,87.5,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,160,,,,,87.3,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,180,,,,,87.1,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,200,,,,,86.9,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,220,,,,,86.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,240,,,,,86.5,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,260,,,,,86.3,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,280,,,,,86.1,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,300,,,,,85.8,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,320,,,,,85.5,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,340,,,,,85.2,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,360,,,,,84.9,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,380,,,,,84.5,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,400,,,,,84.2,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,420,,,,,83.8,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,440,,,,,83.5,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,460,,,,,83.1,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,480,,,,,82.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,500,,,,,82.3,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,520,,,,,81.9,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,540,,,,,81.6,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,560,,,,,81.3,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,580,,,,,81,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,600,,,,,80.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,620,,,,,80.4,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,640,,,,,80.2,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,660,,,,,80,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,680,,,,,79.8,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,700,,,,,79.6,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,720,,,,,79.3,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,740,,,,,79,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,760,,,,,78.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,780,,,,,78.4,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,800,,,,,78.1,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,820,,,,,77.7,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,840,,,,,77.4,107,,,
Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,90,,7.8,263,T,25,540,772,60,,,214,,,
Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,216,,7.8,185,,,,,,,,214,,,
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,263,,7.8,197,,,,,,,,213,,,
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,90,,7.8,308,T,25,586,875,46,,,213,,,
Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,90,,7.8,335,T,25,672,982,37,,,212,,,
Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,324,,7.8,204,,,,,,,,212,,,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,20,573,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,100,486,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,200,378,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,300,314,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,400,232,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,600,222,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,800,210,,,,,136,100,5,
Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10,,C,1000,160,,,,,136,100,5,
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,20,1152,,,,,120,180,5,
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,200,740,,,,,120,180,5,
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,100,740,,,,,120,180,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,20,1210,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,60,1071,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,100,1029,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,200,868,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,300,732,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,400,685,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,600,593,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,800,564,,,,,179,80,5,
Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10,,C,1000,539,,,,,179,80,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,20,1054,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,100,968,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,200,869,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,300,754,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,400,627,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,600,596,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,800,564,,,,,198,90,5,
Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,1000,459,,,,,198,90,5,
Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20,860,,,,,119,160,5,
Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20,834,,,,,119,160,5,
Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,200,610,,,,,119,160,5,
Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,600,473,,,,,119,160,5,
Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,20,1630,,,,,196,260,5,
Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,200,1268,,,,,196,260,5,
Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,400,1115,,,,,196,260,5,
Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,600,1062,,,,,196,260,5,
Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,800,1058,,,,,196,260,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,20,1795,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,100,1506,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,200,1266,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,300,1183,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,400,1175,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,600,1162,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,800,1162,,,,,,200,5,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,ANNEAL,other,,,9.9,,C,1000,1159,,,,,,200,5,
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,25,1160,,50,,,100,,,
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,600,405,,50,,,100,,,
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,800,85,,50,,,100,,,
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.6,332.4,C,25,1115,,50,,,100,,,
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,25,1065,,50,,,100,,,
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,600,718,,50,,,100,,,
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,800,135,,50,,,100,,,
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.8,318.9,C,25,1025,,50,,,100,,,
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,25,980,,50,,,101,,,
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,600,859,,50,,,101,,,
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,800,195,,50,,,101,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,,,8.1,398,T,25,1190,1300,4.3,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,1.4,,8.1,367,T,25,1170,1270,10.7,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,1.5,,8.1,312,T,25,1030,1190,11.4,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,1.9,,8.1,271,T,25,970,1110,12.1,,,,,,
